geo,sector,year,elec_carb_int_inp,elec_gen_GWh_inp,elec_value_inp,emis_int_inp,emissions_MtCo2_inp,ind_val_add_2019_bln_inp,pcap_emis_int_inp,pop_inp,resi_emis_int_inp,tokeep,emissions_MtCo2_finaly,ind_val_add_2019_bln_finaly,elec_gen_GWh_finaly,emissions_MtCo2_trend,emis_int_trend,ind_val_add_2019_bln_trend,elec_gen_GWh_trend,baseyear,emissions_MtCo2_baseyear,yrs_since_final_obs,ind_val_add_multiplier,elec_gen_GWh_multiplier,ind_val_add_output,elec_gen_GWh_output,emissions_MtCo2_output,emis_int_outp,elec_carb_int_outp,population
ACT,Agriculture & Forestry,2005,,,,,0.03752,,,,,1,0.02166,0.021419999999999998,,-0.0005244444444444447,,1.0026810934508088,,2005,0.03752,-13.0,0.9657912412377687,,,,0.03752,,,0.333505
ACT,Agriculture & Forestry,2006,,,,,0.03627,,,,,0,0.02166,0.021419999999999998,,-0.0005244444444444447,,1.0026810934508088,,2005,0.03752,-12.0,0.9683806178094998,,,,0.03627,,,0.338381
ACT,Agriculture & Forestry,2007,,,,,0.03294,,,,,0,0.02166,0.021419999999999998,,-0.0005244444444444447,,1.0026810934508088,,2005,0.03752,-11.0,0.9709769367417991,,,,0.03294,,,0.34417600000000004
ACT,Agriculture & Forestry,2008,,,,,0.0262,,,,,0,0.02166,0.021419999999999998,,-0.0005244444444444447,,1.0026810934508088,,2005,0.03752,-10.0,0.9735802166477839,,,,0.0262,,,0.351101
ACT,Agriculture & Forestry,2009,,,,3.1819211326121004,0.02638,0.020909999999999998,,,,0,0.02166,0.021419999999999998,,-0.0005244444444444447,,1.0026810934508088,,2005,0.03752,-9.0,0.9761904761904753,,0.020909999999999998,,0.02638,1.2615973218555716,,0.354785
ACT,Agriculture & Forestry,2010,,,,4.690930584879866,0.0215,0.0198,,,,0,0.02166,0.021419999999999998,,-0.0005244444444444447,,1.0026810934508088,,2005,0.03752,-8.0,0.9788077340829315,,0.0198,,0.0215,1.0858585858585856,,0.361766
ACT,Agriculture & Forestry,2011,,,,5.287751506385948,0.02681,0.01856,,,,0,0.02166,0.021419999999999998,,-0.0005244444444444447,,1.0026810934508088,,2005,0.03752,-7.0,0.9814320090883822,,0.01856,,0.02681,1.4445043103448276,,0.367985
ACT,Agriculture & Forestry,2012,,,,5.379007927874241,0.02576,0.017099999999999997,,,,0,0.02166,0.021419999999999998,,-0.0005244444444444447,,1.0026810934508088,,2005,0.03752,-6.0,0.9840633200203632,,0.017099999999999997,,0.02576,1.506432748538012,,0.376539
ACT,Agriculture & Forestry,2013,,,,3.606407020108541,0.02557,0.017205,,,,0,0.02166,0.021419999999999998,,-0.0005244444444444447,,1.0026810934508088,,2005,0.03752,-5.0,0.986701685742851,,0.017205,,0.02557,1.4861958732926472,,0.383257
ACT,Agriculture & Forestry,2014,,,,3.3614236975939376,0.01925,0.01635,,,,0,0.02166,0.021419999999999998,,-0.0005244444444444447,,1.0026810934508088,,2005,0.03752,-4.0,0.9893471251703981,,0.01635,,0.01925,1.1773700305810397,,0.388799
